0,1
1,2
3,0
4,3
2,5
6,4
5,7
8,6
7,9
10,11
11,12
12,13
13,10
14,15
15,16
16,17
17,14
18,19
19,20
20,21
21,18
22,23
23,24
24,25
25,22
26,8
27,26
28,27
29,30
30,28
31,32
33,34
27,34
33,26
31,28
30,32
34,31
35,33
32,36
14,11
26,15
22,30
37,38
38,39
39,40
36,41
41,42
43,35
44,43
3,2
20,24
17,12
12,20
13,19
21,23
9,45
46,37
46,45
47,48
49,50
50,51
51,46
45,52
52,47
53,54
48,54
53,49
54,55
55,56
56,57
58,59
60,53
59,60
61,62
62,63
63,64
64,65
65,66
66,67
67,68
68,69
69,70
70,71
71,72
72,73
73,74
62,73
63,72
64,71
65,70
66,69
61,74
74,75
75,58
57,76
76,61
76,77
77,78
79,80
80,75
81,82
83,84
85,86
84,87
88,81
89,90
82,91
92,83
87,93
93,92
91,94
94,88
90,95
95,96
97,85
98,97
79,78
89,81
88,90
84,86
85,87
82,83
92,91
99,98
96,100
100,101
101,102
102,103
103,104
104,99
100,105
105,106
106,99
86,107
107,79
78,108
108,89
109,110
110,111
111,112
112,109
113,114
114,115
115,116
116,113
40,117
118,29
119,118
117,120
29,40
120,119
121,122
123,124
122,119
120,121
121,124
123,122
125,123
124,126
127,128
128,129
130,44
42,131
131,132
133,134
134,135
135,136
136,137
137,138
138,139
139,140
140,133
141,142
143,144
144,145
146,147
148,149
150,151
152,153
154,127
153,154
149,155
156,155
157,158
159,157
160,161
162,159
161,156
163,164
165,152
164,166
167,165
141,145
153,158
158,164
150,148
158,152
168,160
163,168
169,163
170,171
171,172
172,169
129,173
173,174
175,130
176,175
177,178
178,179
180,181
182,180
183,182
184,183
179,185
185,186
187,188
174,176
181,177
180,178
182,179
183,185
184,186
187,189
190,191
192,193
194,195
196,197
198,199
200,201
202,203
204,205
204,202
203,205
202,200
200,198
198,196
196,194
194,192
193,195
195,197
197,199
199,201
201,203
192,206
207,193
208,207
206,167
208,167
206,207
209,208
127,210
210,211
211,35
211,130
129,210
205,212
212,191
190,213
213,204
186,214
214,189
188,215
215,184
150,162
147,216
216,141
145,217
217,148
218,170
170,219
219,169
132,220
220,221
221,222
222,223
153,223
222,154
223,150
224,225
226,227
227,228
229,230
231,232
233,224
234,235
235,236
236,237
238,239
239,240
240,241
228,242
242,229
237,243
243,234
232,244
244,233
241,245
245,238
245,246
246,247
247,242
248,243
244,249
249,248
250,251
252,253
251,254
255,252
229,232
234,241
166,209
253,226
225,250
238,228
233,237
252,251
254,256
257,255
258,257
256,259
259,260
260,261
262,263
263,258
263,260
259,258
261,264
265,262
264,266
267,268
268,269
269,265
266,267
262,261
270,209
166,271
230,272
272,270
271,273
273,231
271,270
272,273
274,275
276,277
277,274
275,276
256,257
278,279
280,281
281,278
279,280
151,146
282,283
283,284
284,285
285,286
286,287
287,288
288,289
289,282
290,291
291,292
293,294
295,296
296,297
298,299
300,301
301,302
302,303
303,295
292,300
290,304
304,305
305,297
299,306
306,307
307,308
308,293
298,309
309,294
310,311
142,312
313,143
312,310
125,126
313,310
314,315
315,316
316,317
317,314
294,318
318,125
126,319
319,290
297,320
320,313
311,321
321,298
322,323
323,324
324,325
325,326
326,327
327,328
328,329
329,330
330,331
331,332
332,333
333,334
334,335
335,322
327,334
328,333
329,332
336,337
337,338
338,339
339,336
340,341
341,342
342,343
343,340
344,345
345,346
346,347
347,344
142,144
348,349
350,351
352,353
349,352
219,354
354,355
353,356
356,169
349,357
357,350
351,358
358,352
191,359
359,360
360,187
189,361
361,362
362,190
174,363
363,177
181,364
364,176
355,365
366,367
368,366
369,370
370,371
371,372
372,373
374,368
375,374
376,375
373,377
378,376
377,379
380,378
155,218
365,348
369,367
155,381
381,380
379,382
382,218
365,383
383,369
367,384
384,348
